SKU,Name1
ST20231215_095506_PLEASE BE PATIENT STUDENT DRIVER,STUDENT DRIVER
ST20231215_095507_PLEASE BE PATIENT WHILE I FIND THE RIGHT WORDS,WHILE I FIND THE RIGHT WORDS
ST20231215_095508_PLEASE BE PATIENT I AM GRANDMA,I AM GRANDMA
ST20231215_095509_PLEASE BE PATIENT GOD ISNT FINISHED WITH ME YET,GOD ISN'T FINISHED WITH ME YET
ST20231215_095510_PLEASE BE PATIENT IM BUFFERING,I'M BUFFERING
ST20231215_095511_PLEASE BE PATIENT WOMAN DRIVER,WOMAN DRIVER
ST20231215_095512_PLEASE BE PATIENT I'M DISASSOCIATING,I'M DISASSOCIATING
ST20231215_095513_PLEASE BE PATIENT I AM 8 YEARS OLD,I AM 8 YEARS OLD
ST20231215_095514_PLEASE BE PATIENT I AM HARD HEARING,I AM HARD HEARING
ST20231215_095515_PLEASE BE PATIENT I AM THINKING,I AM THINKING
ST20231215_095516_PLEASE BE PATIENT GAMER DRIVER,GAMER DRIVER
ST20231215_095517_PLEASE BE PATIENT WITH THE BARTENDER,WITH THE BARTENDER
ST20231215_095518_PLEASE BE PATIENT I SUCK AT DRIVING,I SUCK AT DRIVING
ST20231215_095519_PLEASE BE PATIENT I AM NOT A GOOD DRIVER,I AM NOT A GOOD DRIVER
ST20231215_095520_PLEASE BE PATIENT I AM GAY DRIVER,I AM GAY DRIVER
ST20231215_095521_PLEASE BE PATIENT IM ACTUALLY THREE DOGS IN A TRENCH COAT,I'M ACTUALLY THREE DOGS IN A TRENCH COAT
ST20231215_095522_PLEASE BE PATIENT IM TRYING TO CARE,I'M TRYING TO CARE
ST20231215_095523_PLEASE BE PATIENT DRIVER WITH AUTISM,DRIVER WITH AUTISM
ST20231215_095524_PLEASE BE PATIENT ELDERLY DRIVER,ELDERLY DRIVER
ST20231215_095525_PLEASE BE PATIENT IM 18 YEARS OLD,I'M 18 YEARS OLD
ST20231215_095526_PLEASE BE PATIENT I AM AUTISTIC,I AM AUTISTIC
ST20231215_095527_PLEASE BE PATIENT ANXIOUS DRIVER,ANXIOUS DRIVER
ST20231215_095528_PLEASE BE PATIENT I AM VERY DUMB,I AM VERY DUMB
ST20231215_095529_PLEASE BE PATIENT I HAVE TOURETTES,I HAVE TOURETTE'S
ST20231215_095530_PLEASE BE PATIENT I AM 4 YEARS OLD,I AM 4 YEARS OLD
ST20231215_095531_PLEASE BE PATIENT TIRED DRIVER,TIRED DRIVER
ST20231215_095532_PLEASE BE PATIENT DONT KNOW MY RIGHTS AND LEFTS,DON'T KNOW MY RIGHTS AND LEFTS
ST20231215_095533_PLEASE BE PATIENT IM A TERRIBLE DRIVER,I'M A TERRIBLE DRIVER
ST20231215_095534_PLEASE BE PATIENT I HAVE ADHD,I HAVE ADHD
ST20231215_095535_PLEASE BE PATIENT NEW HUMAN,NEW HUMAN
ST20231215_095536_PLEASE BE PATIENT IAM A PHOTOGRAPHER,I'AM A PHOTOGRAPHER!
ST20231215_095537_PLEASE BE PATIENT I AM 6 YEARS OLD,I AM 6 YEARS OLD
ST20231215_095538_PLEASE BE PATIENT I AM AQUATIC,I AM AQUATIC
ST20231215_095539_PLEASE BE PATIENT THINKING,THINKING...
ST20231215_095540_PLEASE BE PATIENT I AM DISABLED,I AM DISABLED
ST20231215_095541_PLEASE BE PATIENT SENIOR DRIVER,SENIOR DRIVER
ST20231215_095542_PLEASE BE PATIENT IM MUCKING THINGS UP,I'M MUCKING THINGS UP
ST20231215_095543_PLEASE BE PATIENT I AM 2 YEARS OLD,I AM 2 YEARS OLD
ST20231215_095544_PLEASE BE PATIENT PROCESSING,PROCESSING...
ST20231215_095545_PLEASE BE PATIENT WE ARE UNDERSTAFFED,WE ARE UNDERSTAFFED
ST20231215_095546_PLEASE BE PATIENT STUDENT HACKER,STUDENT HACKER
ST20231215_095547_PLEASE BE PATIENT I'M LEGALLY BLIND,I'M LEGALLY BLIND
ST20231215_095548_PLEASE BE PATIENT I HAVE SELECTIVE MUTISM,I HAVE SELECTIVE MUTISM
ST20231215_095549_PLEASE BE PATIENT IM THINKING,I'M THINKING
ST20231215_095550_PLEASE BE PATIENT I AM SILLY,I AM SILLY
ST20231215_095551_PLEASE BE PATIENT BLONDE DRIVER,BLONDE DRIVER
ST20231215_095552_PLEASE BE PATIENT I AM 5 YEARS OLD,I AM 5 YEARS OLD
ST20231215_095553_PLEASE BE PATIENT I AM 7 YEARS OLD,I AM 7 YEARS OLD
ST20231215_095554_PLEASE BE PATIENT I DONT KNOW MY RIGHTS AND LEFTS,I DON'T KNOW MY RIGHTS AND LEFTS
ST20231215_095555_PLEASE BE PATIENT FIRST TIME HUMAN,FIRST TIME HUMAN
ST20231215_095556_PLEASE BE PATIENT I STOP AT STOP,I STOP AT STOP
ST20231215_095557_PLEASE BE PATIENT I HAVE CHRONIC PAIN,I HAVE CHRONIC PAIN
ST20231215_095558_PLEASE BE PATIENT I AM 8 YEARS OLD,I AM 8 YEARS OLD
ST20231215_095559_PLEASE BE PATIENT I AM SO STUPID,I AM SO STUPID
ST20231215_095600_PLEASE BE PATIENT THINKING LOADING,THINKING LOADING...
ST20231215_095601_PLEASE BE PATIENT I AM 3 YEARS OLD,I AM 3 YEARS OLD
